_id,OBJECTID,YEAR_,STATE,AGENCY,UNIT_ID,FIRE_NAME,INC_NUM,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,OBJECTIVE,GIS_ACRES,COMMENTS,COMPLEX_NAME,IRWINID,FIRE_NUM,COMPLEX_ID,DECADES,Shape__Area,Shape__Length
2742,2742,2017,CA,CDF,CZU,BEAR,00007822,2017/10/16 00:00:00+00,2017/10/25 00:00:00+00,7,7,1,317.201, ,,{BDC98A6B-5985-4CDC-A3FC-C152AE8BB1C7},,,2010,2026019.40625,8383.14885098561
2743,2743,2017,CA,CDF,BEU,PINE,00002569,2017/05/16 00:00:00+00,2017/05/16 00:00:00+00,10,1,1,24.03971,,,,,,2010,149520.875,1531.94024562543
2744,2744,2017,CA,CDF,BEU,LONEOAK,00002585,2017/05/17 00:00:00+00,2017/05/17 00:00:00+00,11,1,1,16.81539,,,,,,2010,104821.26953125,1286.56829760888
2745,2745,2017,CA,CDF,BEU,BITTERWATER,00002674,2017/05/22 00:00:00+00,2017/05/22 00:00:00+00,11,1,1,20.62749,,,,,,2010,129023.44921875,2608.52841074002
2746,2746,2017,CA,CDF,BEU,HOG,00003030,2017/06/09 00:00:00+00,2017/06/09 00:00:00+00,9,1,1,14.10511,,,,,,2010,86959.48046875,1672.6793201906
2747,2747,2017,CA,CDF,BEU,VALLEY,00003471,2017/07/04 00:00:00+00,2017/07/04 00:00:00+00,10,1,1,34.8994,,,,,,2010,221020.7109375,3191.60840556672
2748,2748,2017,CA,CDF,BEU,PARKFIELD,00003551,2017/07/08 00:00:00+00,2017/07/08 00:00:00+00,11,2,1,1821.772,,,,,,2010,11224981.1640625,14829.0336384269
2749,2749,2017,CA,CDF,BEU,ALVARADO,00003710,2017/07/16 00:00:00+00,2017/07/16 00:00:00+00,11,1,1,9.783442,,,,,,2010,60482.19140625,1511.84957857037
2750,2750,2017,CA,CDF,BEU,CANYON,00004258,2017/08/14 00:00:00+00,2017/08/14 00:00:00+00,2,1,1,16.82664,,,,,,2010,103719.625,1527.54079289082
2751,2751,2017,CA,CDF,BEU,KING,00004460,2017/08/26 00:00:00+00,2017/08/26 00:00:00+00,14,1,1,7.94398,,,,,,2010,49462.6171875,1560.80057841733
2752,2752,2017,CA,CDF,BEU,SAN JUAN,00004583,2017/09/01 00:00:00+00,2017/09/01 00:00:00+00,14,1,1,14.82591,,,,,,2010,93740.06640625,1497.97677207816
2753,2753,2017,CA,CDF,BEU,BITTERWATER,00006153,2017/11/25 00:00:00+00,2017/11/25 00:00:00+00,10,1,1,48.32974,,,,,,2010,302088.42578125,3552.93439345218
2754,2754,2017,CA,CDF,BEU,COUNTRY,00004135,2017/08/07 00:00:00+00,2017/08/07 00:00:00+00,11,5,1,81.70621,,,,,,2010,504607.328125,3458.86778678149
2755,2755,2017,CA,CDF,BEU,UNION,00003449,2017/07/02 00:00:00+00,2017/07/02 00:00:00+00,10,1,1,32.43858,,,,,,2010,205558.51953125,1958.03729222881
2756,2756,2017,CA,CDF,BEU,PINE,00004818,2017/09/11 00:00:00+00,2017/09/11 00:00:00+00,1,1,1,59.3685,,,,,,2010,369426.671875,3024.42065330089
2757,2757,2017,CA,CDF,BDU,OAK,00017005,2017/11/29 00:00:00+00,2017/12/07 00:00:00+00,10,2,1,325.5135,,,{97171279-6019-4C44-A636-15E5A229E0FA},,,2010,1922371.16796875,7089.50036757036
2758,2758,2017,CA,CDF,BDU,HIGH,00010322,2017/07/23 00:00:00+00,2017/07/27 00:00:00+00,9,2,1,157.5895,,,{23481C40-ADC4-4A07-BEB6-4FBA6449422F},,,2010,939056.4609375,5975.61976475116
2759,2759,2017,CA,CDF,BDU,BRYANT 2,00010918,2017/08/03 00:00:00+00,2017/08/11 00:00:00+00,7,2,1,336.6238,,,{5C6D3757-675F-4EB4-A3EA-375F3126D548},,,2010,1990779.046875,8974.84606829933
2760,2760,2017,CA,CDF,BDU,CABLE,00008717,2017/06/24 00:00:00+00,2017/06/24 00:00:00+00,9,6,1,11.38073,,,,,,2010,67536.55078125,1222.11749013939
2761,2761,2017,CA,CDF,AEU,LATROBE,00021652,2017/07/26 00:00:00+00,2017/07/26 00:00:00+00,5,1,1,1268.11, ,,{40F38CA9-CE73-4CA9-95F7-A4B4578710F4},,,2010,8397879.67578125,18568.1612741335
2762,2762,2017,CA,CDF,AEU,RANCH,00021638,2017/07/26 00:00:00+00,2017/07/31 00:00:00+00,2,1,1,138.5487, ,,{5073F32C-FD7D-45A4-B48E-AFE05F1D54D7},,,2010,918434.78125,6010.10735410431
2763,2763,2017,CA,CDF,AEU,FRENCH,00027595,2017/09/17 00:00:00+00,2017/09/18 00:00:00+00,14,1,1,130.7719,,,{F6E49343-B2D8-44F9-9011-ECC4B9478B79},,,2010,867163.28515625,5255.40857137153
2764,2764,2017,CA,CDF,AEU,AXEL,00019580,2017/08/07 00:00:00+00,2017/08/07 00:00:00+00,14,1,1,72.09602,,,{25922B6E-C0D6-44A8-A473-909676EA50CE},,,2010,481066.11328125,5013.69437618922
2765,2765,2017,CA,CDF,AEU,LARGO,00022043,2017/07/30 00:00:00+00,2017/07/30 00:00:00+00,7,1,1,237.9169,,,,,,2010,1576002.546875,7147.96255940709
2766,2766,2017,CA,CDF,AEU,STONY,00018004,2017/06/24 00:00:00+00,2017/06/24 00:00:00+00,11,1,1,10.9172,,,,,,2010,71828.87109375,1860.33204312032
2767,2767,2017,CA,CDF,AEU,TONZI,00017061,2017/06/17 00:00:00+00,2017/06/17 00:00:00+00,14,1,1,22.38834,,,{BFE8281A-EAE7-4A5C-A550-D6395F87301A},,,2010,147765.30859375,2056.08681094722
