,FIRE_NAME,ALARM_DATE,CONT_DATE,CAUSE,C_METHOD,GIS_ACRES,COMPLEX_NAME,Shape__Area,Shape__Length
82,SPRING,2023-08-26 00:00:00+00:00,2023/08/26 00:00:00+00,14.0,7.0,12.34517,,88649.9609375,1544.82548986724
83,WINEMAN,2023-08-26 00:00:00+00:00,2023/08/26 00:00:00+00,7.0,1.0,1.682815,,10172.0,386.111235647662
84,BRIDGE RIDGE,2023-08-25 00:00:00+00:00,2023/10/19 00:00:00+00,1.0,8.0,16.54212,,118120.8828125,1585.72054754258
85,HOMESTEAD,2023-08-23 00:00:00+00:00,2023/08/24 00:00:00+00,14.0,1.0,8.132599,,47442.8671875,1386.47984668566
86,HANCOCK,2023-08-21 00:00:00+00:00,2023/09/25 00:00:00+00,1.0,7.0,1728.136,2023 SRF LIGHTNING COMPLEX,12457944.0898438,18526.7159659813
87,IRON,2023-08-19 00:00:00+00:00,2023/09/02 00:00:00+00,1.0,7.0,20.01698,2023 SRF LIGHTNING COMPLEX,144629.19921875,1822.03935238628
88,PLANT,2023-08-19 00:00:00+00:00,2023/08/31 00:00:00+00,11.0,3.0,5761.521,,34771286.984375,52880.1507570325
89,BLACKWELL,2023-08-19 00:00:00+00:00,2023/08/19 00:00:00+00,1.0,1.0,34.64903,,212358.31640625,2262.75029492936
90,DEN,2023-08-18 00:00:00+00:00,2023/08/24 00:00:00+00,1.0,7.0,294.8512,HAPPY CAMP COMPLEX,2152075.21484375,6968.73287823437
91,TOPAZ,2023-08-18 00:00:00+00:00,2023/08/18 00:00:00+00,11.0,1.0,5.66248,,34542.0,744.285463131898
92,PEARCH,2023-08-17 00:00:00+00:00,2023/10/25 00:00:00+00,1.0,7.0,12152.45,2023 SRF LIGHTNING COMPLEX,87295981.7109375,191343.961962366
93,LET ER-BUCK,2023-08-17 00:00:00+00:00,2023/09/28 00:00:00+00,1.0,3.0,95.91678,2023 SRF LIGHTNING COMPLEX,692201.19140625,7400.7851056973
94,R-1 Spencer Basin,2023-08-17 00:00:00+00:00,2023/08/18 00:00:00+00,1.0,1.0,27.64029,,192656.57421875,2375.26465718523
95,COYOTE,2023-08-17 00:00:00+00:00,2023/08/19 00:00:00+00,14.0,7.0,466.5,,2670139.78515625,8337.21972888518
96,WILLOW,2023-08-16 00:00:00+00:00,2023/08/16 00:00:00+00,10.0,1.0,5.272589,,32346.00390625,802.641273290647
97,CATTLE,2023-08-16 00:00:00+00:00,2023/08/16 00:00:00+00,9.0,1.0,0.8171355,,4988.0,328.36028649412
98,ASH,2023-08-16 00:00:00+00:00,2023/08/18 00:00:00+00,1.0,7.0,14.55784,SKU AUGUST LIGHTNING COMPLEX,106294.48828125,1706.83685767779
99,3-9,2023-08-16 00:00:00+00:00,2023/11/02 00:00:00+00,14.0,7.0,2836.39,SOUTH FORK COMPLEX,19947931.8515625,68191.929473039
100,HIGHWAY,2023-08-16 00:00:00+00:00,2023/08/17 00:00:00+00,14.0,6.0,44.80482,,303525.9453125,3664.24111422775
101,UFISH,2023-08-16 00:00:00+00:00,2023/09/28 00:00:00+00,1.0,3.0,7850.58,HAPPY CAMP COMPLEX,57036758.5390625,56259.2960477678
102,HURDY GURDY,2023-08-15 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,7.0,2677.779,SMITH RIVER COMPLEX,19514022.40625,36615.3211235813
103,SCOTT,2023-08-15 00:00:00+00:00,2023/09/04 00:00:00+00,1.0,7.0,1935.952,HAPPY CAMP COMPLEX,14050384.4179688,23549.836633093
104,CORRAL,2023-08-15 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,7.0,1090.281,SMITH RIVER COMPLEX,7980142.2265625,16299.1948251358
105,DIAMOND,2023-08-15 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,7.0,550.0559,SMITH RIVER COMPLEX,4026102.2265625,16071.3653112586
106,LAKE,2023-08-15 00:00:00+00:00,2023/09/07 00:00:00+00,1.0,3.0,200.2064,HAPPY CAMP COMPLEX,1448786.51171875,8863.5386708356
107,ISLAND,2023-08-15 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,7.0,378.4197,SMITH RIVER COMPLEX,2754376.875,14197.4692313369
108,LONE PINE,2023-08-15 00:00:00+00:00,2023/09/15 00:00:00+00,1.0,3.0,1684.73,2023 SRF LIGHTNING COMPLEX,11987004.5546875,19642.4491016105
109,TOWNSEND,2023-08-15 00:00:00+00:00,2023/08/23 00:00:00+00,1.0,2.0,81.23029,HAPPY CAMP COMPLEX,590216.5859375,4621.79502237563
110,1-10,2023-08-15 00:00:00+00:00,2023/08/18 00:00:00+00,1.0,1.0,56.87772,,392924.71875,3555.76506096679
111,KELLY,2023-08-15 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,7.0,89326.05,SMITH RIVER COMPLEX,653153709.929688,310391.944868089
112,BITTER,2023-08-15 00:00:00+00:00,2023/08/16 00:00:00+00,10.0,1.0,695.1143,,4249745.02734375,11155.5890220942
113,MOSQUITO,2023-08-15 00:00:00+00:00,2023/10/25 00:00:00+00,1.0,7.0,34188.45,2023 SRF LIGHTNING COMPLEX,246667727.851562,615710.558280471
114,RANCH,2023-08-15 00:00:00+00:00,2023/08/28 00:00:00+00,1.0,7.0,792.9697,SKU AUGUST LIGHTNING COMPLEX,5681507.4296875,16992.5913282629
115,LONG,2023-08-15 00:00:00+00:00,2023/08/28 00:00:00+00,1.0,7.0,29.74612,SKU AUGUST LIGHTNING COMPLEX,212868.7421875,2876.96181775053
116,MARLOW,2023-08-15 00:00:00+00:00,2023/10/03 00:00:00+00,1.0,3.0,1997.206,2023 SRF LIGHTNING COMPLEX,14446716.515625,40356.3638376565
117,PILOT,2023-08-15 00:00:00+00:00,2023/09/02 00:00:00+00,1.0,2.0,1055.172,HUU MID-AUGUST LIGHTNING COMPLEX,7430767.44921875,19672.8457196276
118,SLIDE 1,2023-08-15 00:00:00+00:00,2023/08/23 00:00:00+00,1.0,3.0,472.7209,,3269595.19140625,12733.7185685254
119,DEEP,2023-08-15 00:00:00+00:00,2023/10/03 00:00:00+00,14.0,7.0,4198.194,,29782851.640625,55373.5992942208
120,L-1 BRANCH FISH,2023-08-15 00:00:00+00:00,2023/08/16 00:00:00+00,14.0,7.0,8.922971,,62661.8828125,1019.67179685544
121,PILOT,2023-08-15 00:00:00+00:00,2024/01/09 00:00:00+00,14.0,6.0,76.7887,,539647.9140625,3204.00611784048
122,REDWOOD,2023-08-15 00:00:00+00:00,2023/12/14 00:00:00+00,1.0,7.0,2248.449,,14117352.7851562,18191.6801292845
123,TITUS,2023-08-15 00:00:00+00:00,2023/08/31 00:00:00+00,1.0,7.0,71.79534,HAPPY CAMP COMPLEX,519821.1875,10073.967258063
124,HEAD,2023-08-15 00:00:00+00:00,2023/09/07 00:00:00+00,1.0,2.0,6953.805,HAPPY CAMP COMPLEX,50631460.9257812,90233.5098522921
125,SULPHER,2023-08-15 00:00:00+00:00,2023/12/31 00:00:00+00,14.0,7.0,31.21948,,218677.4453125,2238.91909568431
126,ELLIOT,2023-08-15 00:00:00+00:00,2023/10/23 00:00:00+00,1.0,3.0,13875.25,HAPPY CAMP COMPLEX,100555093.625,92115.6786302958
127,DEVIL,2023-08-15 00:00:00+00:00,2023/10/19 00:00:00+00,1.0,1.0,12.40059,,88464.69140625,1468.33548018449
128,PRESCOTT,2023-08-15 00:00:00+00:00,2023/11/14 00:00:00+00,14.0,7.0,599.3448,SMITH RIVER COMPLEX,4357972.8203125,9443.72086280639
129,LOST,2023-08-15 00:00:00+00:00,2023/09/11 00:00:00+00,1.0,7.0,739.8182,,5311222.49609375,17079.0374242712
130,TROTTER,2023-08-14 00:00:00+00:00,2023/08/17 00:00:00+00,14.0,1.0,52.54716,,318702.40234375,4868.13291235762
131,GROVE,2023-08-14 00:00:00+00:00,2023/08/14 00:00:00+00,14.0,1.0,4.713907,,28567.82421875,1609.3463258167
132,GENERAL,2023-08-13 00:00:00+00:00,2023/08/13 00:00:00+00,1.0,1.0,16.05068,,97481.0390625,1702.3947196682
133,WILLIAMS,2023-08-13 00:00:00+00:00,2023/08/16 00:00:00+00,9.0,7.0,4.5,,27820.04296875,740.678816912956
134,STRIKE,2023-08-12 00:00:00+00:00,2023/08/13 00:00:00+00,1.0,1.0,19.1282,,120709.50390625,1950.54802825913
135,RINCONADA,2023-08-11 00:00:00+00:00,2023/08/13 00:00:00+00,14.0,3.0,96.37685,,583837.12890625,4259.82355543257
